date,hour,event_type,description,program
2021-01-29,18:00,Conseil de défense,Conseil de défense Covid-19.,[]
2021-02-01,12:30,Déjeuner,"Entretien avec M. Aleksandar VUCIC, Président de la République de Serbie.","['Déclaration du Président Emmanuel Macron avec le Président de la République de Serbie, Aleksandar Vučić.']"
2021-02-01,18:00,Entretien,"Entretien téléphonique avec M. Antonio GUTERRES, Secrétaire général des Nations-Unies.",[]
2021-02-01,19:00,Réunion,"Réunion ministérielle en présence de M. Jean CASTEX, Premier ministre, de M. Olivier VÉRAN, ministre des Solidarités et de la Santé,  et Mme Agnès PANNIER-RUNACHER, ministre déléguée auprès du ministre de l'Économie, des Finances et de la Relance, chargée de l’Industrie.",[]
2021-02-02,11:00,Conseil de défense,Conseil restreint de défense et de sécurité nationale.,[]
2021-02-02,16:00,Réunion,Réunion sur les essais thérapeutiques et les traitements contre la Covid-19.,[]
2021-02-02,18:00,Réunion,Réunion en visioconférence sur la production de vaccins avec les acteurs industriels.,[]
2021-02-03,09:00,Conseil de défense,Conseil de défense Covid-19.,[]
2021-02-03,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 3 février 2021.']
2021-02-03,13:30,Déjeuner,"Entretien avec M. Igor MATOVIC, Premier ministre de la République de Slovaquie.","['Déclaration du Président Emmanuel Macron avec le Premier ministre de la République de Slovaquie, Igor Matovič.']"
2021-02-04,10:00,Discours,Présentation de la stratégie décennale de la lutte contre les cancers lors des Rencontres 2021 de l'Institut National du Cancer.,['Unis pour lutter contre les cancers !']
2021-02-04,10:30,Déplacement,Déplacement  à l'Institut Gustave Roussy à Villejuif.,[]
2021-02-04,13:15,Déjeuner,"Déjeuner avec Mme Maia SANDU, Présidente de la République de Moldavie.",['Déclaration conjointe du Président Emmanuel Macron et de la Présidente de la République de Moldavie Maia Sandu.']
2021-02-05,14:00,Conseil de défense,"Conseil franco-allemand de défense et de sécurité, en visioconférence.","[""Conférence de presse conjointe du Président Emmanuel Macron et de la Chancelière Angela Merkel à l'issue du Conseil franco-allemand de défense et de sécurité.""]"
2021-02-08,13:00,Déjeuner,Déjeuner avec le Premier ministre.,[]
2021-02-08,16:00,Entretien,"Visioconférence avec M. Tedros Adhanom Ghebreyesus, Directeur général de l’Organisation mondiale de la Santé (OMS).",[]
2021-02-08,19:00,Réunion,"Réunion ministérielle en présence de  M. Jean CASTEX, Premier ministre, de M. Olivier VÉRAN, ministre des Solidarités et de la Santé, M. Gabriel ATTAL, porte-parole du Gouvernement, et Mme Agnès PANNIER-RUNACHER, ministre déléguée chargée de l’Industrie.",[]
2021-02-09,09:00,Conseil de défense,Conseil restreint de défense et de sécurité nationale.,[]
2021-02-10,09:00,Conseil de défense,Conseil de défense Covid-19.,[]
2021-02-10,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 10 février 2021.']
2021-02-10,13:15,Déjeuner,"Déjeuner avec M. Roch Marc Christian KABORÉ, Président du Burkina Faso.",[]
2021-02-11,Matin,Déplacement,Déplacement à Nantes sur le thème de l’égalité des chances dans la Fonction publique.,"[""Fonction publique : les mêmes chances de réussir pour tous. Déplacement du Président Emmanuel Macron à l'Institut régional d'administration.""]"
2021-02-11,17:30,Réunion,"Table ronde en visioconférence sur l’accès universel aux réponses à la crise Covid avec les entreprises pharmaceutiques internationales, en présence de Bill et Melinda GATES.",[]
